;Artikelnummer;Menge;Beschreibung 1;Beschreibung 2;Listenpreis;Nettowert;
ART;DESTA080320;1,000;Deckenstanzer 80 mm, Länge 320 mm;Bimetall Brandschutzhül.m.Speziallaschen;171 €;153,90 €;
ART;ROCO150US2826;1,000;Brandschutz Schale Conlit 150 U  28mm;Daemmdicke 26.0mm kaschiert Rockwool;163 €;35,86 €;
ART;ROCO150US1025;1,000;Brandschutz Schale Conlit 150 U  10mm;Daemmdicke 25.0mm kaschiert Rockwool;103,5 €;22,77 €;
ART;ROCO150US1224;1,000;Brandschutz Schale Conlit 150 U  12mm;Daemmdicke 24.0mm kaschiert Rockwool;105 €;23,10 €;
ART;ROCO150US15225;1,000;Brandschutz Schale Conlit 150 U  15mm;Daemmdicke 22.5mm kaschiert Rockwool;108 €;23,76 €;
ART;ROCO150US1821;1,000;Brandschutz Schale Conlit 150 U  18mm;Daemmdicke 21.0mm kaschiert Rockwool;111 €;24,42 €;
ART;ROCO150US2219;1,000;Brandschutz Schale Conlit 150 U  22mm;Daemmdicke 19.0mm kaschiert Rockwool;133 €;29,26 €;
ART;ROCO150US35225;1,000;Brandschutz Schale Conlit 150 U  35mm;Daemmdicke 22.5mm kaschiert Rockwool;178,5 €;39,27 €;
ART;ROCO150US4219;1,000;Brandschutz Schale Conlit 150 U  42mm;Daemmdicke 19.0mm kaschiert Rockwool;205,5 €;45,21 €;
ART;ROCO150US4229;1,000;Brandschutz Schale Conlit 150 U  42mm;Daemmdicke 29.0mm kaschiert Rockwool;259 €;56,98 €;
ART;ROCO150US5438;1,000;Brandschutz Schale Conlit 150 U  54mm;Daemmdicke 38.0mm kaschiert Rockwool;381 €;83,82 €;
ART;ROCO150US7637;1,000;Brandschutz Schale Conlit 150 U  76mm;Daemmdicke 37.0mm kaschiert Rockwool;441 €;97,02 €;
ART;ROCO150US7652;1,000;Brandschutz Schale Conlit 150 U  76mm;Daemmdicke 52.0mm kaschiert Rockwool;538 €;118,36 €;
ART;DESTA160320;1,000;Deckenstanzer 160 mm, Länge 320 mm;Bimetall Brandschutzhül.m.Speziallaschen;176 €;158,40 €;
ART;ROCOBSFG159A1;1,000;Brandschutzstopfen Conlit;Fire Plug, Durchmesser = 159 mm, A1;673 €;269,20 €;
