;Artikelnummer;Menge;Beschreibung 1;Beschreibung 2;Listenpreis;Nettowert;
ART;SPRIND54;6,000;Temponox-Rohr Edelstahl 1.4520;d 54x1,5  Länge 6 mtr;51 €;107,10 €;
ART;SPRIND42;6,000;Temponox-Rohr Edelstahl 1.4520;d 42x1,5  Länge 6 mtr;39,2 €;82,32 €;
ART;SPRIND35;6,000;Temponox-Rohr Edelstahl 1.4520;d 35x1,5  Länge 6 mtr;30,8 €;64,68 €;
ART;SPRIND28;6,000;Temponox-Rohr Edelstahl 1.4520;d 28x1,2  Länge 6 mtr;20,6 €;43,26 €;
ART;SPRIND22;6,000;Temponox-Rohr Edelstahl 1.4520;d 22x1,2  Länge 6 mtr;15,5 €;32,58 €;
ART;SPRIND18;6,000;Temponox-Rohr Edelstahl 1.4520;d 18x1,0  Länge 6 mtr;12,4 €;26,04 €;
ART;SPRIND15;6,000;Temponox-Rohr Edelstahl 1.4520;d 15x1,0  Länge 6 mtr;9,7 €;20,40 €;
ART;TEMPB15;1,000;Temponox Bogen 90 Grad, 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;7,7 €;3,47 €;
ART;TEMPB18;1,000;Temponox Bogen 90 Grad, 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;8,8 €;3,96 €;
ART;TEMPB22;1,000;Temponox Bogen 90 Grad, 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;10,5 €;4,73 €;
ART;TEMPB28;1,000;Temponox Bogen 90 Grad, 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;14,4 €;6,48 €;
ART;TEMPB35;1,000;Temponox Bogen 90 Grad, 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;28,3 €;12,74 €;
ART;TEMPB42;1,000;Temponox Bogen 90 Grad, 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;44,6 €;20,07 €;
ART;TEMPB54;1,000;Temponox Bogen 90 Grad, 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;59,7 €;26,87 €;
ART;TEMPB15IA;1,000;Temponox Bogen 90 Grad 15mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;8,1 €;3,65 €;
ART;TEMPB18IA;1,000;Temponox Bogen 90 Grad 18mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;9,3 €;4,19 €;
ART;TEMPB22IA;1,000;Temponox Bogen 90 Grad 22mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;11 €;4,95 €;
ART;TEMPB28IA;1,000;Temponox Bogen 90 Grad 28mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;14,4 €;6,48 €;
ART;TEMPB35IA;1,000;Temponox Bogen 90 Grad 35mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;28,3 €;12,74 €;
ART;TEMPB42IA;1,000;Temponox Bogen 90 Grad 42mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;44,6 €;20,07 €;
ART;TEMPB54IA;1,000;Temponox Bogen 90 Grad 54mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;59,7 €;26,87 €;
ART;TEMPB1545;1,000;Temponox Bogen 45 Grad 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;8,2 €;3,69 €;
ART;TEMPB1845;1,000;Temponox Bogen 45 Grad 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;9,1 €;4,10 €;
ART;TEMPB2245;1,000;Temponox Bogen 45 Grad 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;11 €;4,95 €;
ART;TEMPB2845;1,000;Temponox Bogen 45 Grad 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;14,4 €;6,48 €;
ART;TEMPB3545;1,000;Temponox Bogen 45 Grad 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;28,3 €;12,74 €;
ART;TEMPB4245;1,000;Temponox Bogen 45 Grad 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;44,6 €;20,07 €;
ART;TEMPB5445;1,000;Temponox Bogen 45 Grad 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;59,7 €;26,87 €;
ART;TEMPB1545IA;1,000;Temponox Bogen 45 Grad 15mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;7,9 €;3,56 €;
ART;TEMPB1845IA;1,000;Temponox Bogen 45 Grad 18mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;9,3 €;4,19 €;
ART;TEMPB2245IA;1,000;Temponox Bogen 45 Grad 22mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;10,9 €;4,91 €;
ART;TEMPB2845IA;1,000;Temponox Bogen 45 Grad 28mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;14,4 €;6,48 €;
ART;TEMPB3545IA;1,000;Temponox Bogen 45 Grad 35mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;28,2 €;12,69 €;
ART;TEMPB4245IA;1,000;Temponox Bogen 45 Grad 42mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;44,6 €;20,07 €;
ART;TEMPB5445IA;1,000;Temponox Bogen 45 Grad 54mm  I/A;nichtr. Stahl, Pressanschl.  nicht f. TW;59,1 €;26,60 €;
ART;TEMPT15;1,000;Temponox T-Stück 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;14,1 €;6,35 €;
ART;TEMPT1518;1,000;Temponox T-Stück 15 x 18 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;28,7 €;12,92 €;
ART;TEMPT1522;1,000;Temponox T-Stück 15 x 22 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;29,2 €;13,14 €;
ART;TEMPT1815;1,000;Temponox T-Stück 18 x 15 x 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;15,5 €;6,98 €;
ART;TEMPT181815;1,000;Temponox T-Stück 18 x 18 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;25,3 €;11,39 €;
ART;TEMPT18;1,000;Temponox T-Stück 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;15,1 €;6,80 €;
ART;TEMPT1822;1,000;Temponox T-Stück 18 x 22 x 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;22,5 €;10,13 €;
ART;TEMPT221515;1,000;Temponox T-Stück 22 x 15 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;33,8 €;15,21 €;
ART;TEMPT2215;1,000;Temponox T-Stück 22 x 15 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;16,9 €;7,61 €;
ART;TEMPT221818;1,000;Temponox T-Stück 22 x 18 x 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;39,4 €;17,73 €;
ART;TEMPT2218;1,000;Temponox T-Stück 22 x 18 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;17,1 €;7,70 €;
ART;TEMPT222215;1,000;Temponox T-Stück 22 x 22 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;40,6 €;18,27 €;
ART;TEMPT22;1,000;Temponox T-Stück 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;17 €;7,65 €;
ART;TEMPT2228;1,000;Temponox T-Stück 22 x 28 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;35,8 €;16,11 €;
ART;TEMPT2815;1,000;Temponox T-Stück 28 x 15 x 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;23,9 €;10,76 €;
