;Starngschema Strang 2;;;;;;;;;;;;;;
;Rohrmaterial ;Viega Temponox;;;;;;;;;;;;;
;Heizkörperanbindung 0,8 m;;;;;;;;;;;;;;
;Δp Spreizung;15 K;;;;;;;;;;;;;
;cp;1,163  WH / (kg*K);;;;;;;;;;;;;
;;;;;;;;;;;;;;;
4. OG;;WE 14;;WE 14;;WE14;;WE 14;;;;;;;
;;Zimmer 1;;Bad;;WC;;Küche;;;;;;;
;;;;;;;;;;Strang 2;;;;;
4 HK;;HK;;HK;;HK;;HK;Σ;;;;;;
;;1831 W;;1367 W;;0514 W;;1582 W;05,29 kW;;;;;;
;;0105 l/h;V̇ ;0078 l/h;V̇ ;0029 l/h;V̇;0091 l/h;0303 l/h;;;;;;
;;;0105 l/h;;0183 l/h;;0213 l/h;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;DN 12;DN 12;DN 12;DN 12;DN 12;DN 15;DN 12;DN 15;05,29 kW;;DN 12;06,20 m;;
;;66 Pa/m;66 Pa/m;40 Pa/m;174 Pa/m;19 Pa/m;84 Pa/m;52 Pa/m;156 Pa/m;0303 l/h;;DN 15;10,50 m;;
;v;0,22 m/s;0,22 m/s;0,17 m/s;0,39 m/s;0,11 m/s;0,30 m/s;0,19 m/s;0,43 m/s;DN 15;;DN 20;00,00 m;;
;l / m;00,80 m;02,00 m;00,80 m;01,00 m;00,80 m;04,50 m;00,80 m;02,00 m;43 Pa/m;;DN 25;00,00 m;;
;;;;;;;;;;0,43 m/s;;;;;
;;;;;;;;;;04,00 m;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3. OG;;WE 11;;WE 11;;WE11;;WE 11;;;;;;;
;;Zimmer 1;;Bad;;WC;;Küche;;;;;;;
;;;;;;;;;;;;;;;
4 HK;;HK;;HK ;;HK;;HK ;Σ;;;;;;
;;1225 W;;1220 W;;0405 W;;1437 W;04,29 kW;;;;;;
;;0070 l/h;V̇ ;0070 l/h;V̇ ;0023 l/h;V̇;0082 l/h;0246 l/h;;;;;;
;;;0070 l/h;;0140 l/h;;0163 l/h;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 15;09,58 kW;;DN 12;10,70 m;;
;;33 Pa/m;33 Pa/m;33 Pa/m;109 Pa/m;19 Pa/m;142 Pa/m;43 Pa/m;108 Pa/m;0549 l/h;;DN 15;02,00 m;;
;v;0,15 m/s;0,15 m/s;0,15 m/s;0,30 m/s;0,11 m/s;0,36 m/s;0,17 m/s;0,35 m/s;DN 20;;DN 20;04,00 m;;
;l / m;00,80 m;02,00 m;00,80 m;01,00 m;00,80 m;04,50 m;00,80 m;02,00 m;169 Pa/m;;DN 25;00,00 m;;
;;;;;;;;;;0,51 m/s;;;;;
;;;;;;;;;;04,00 m;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2. OG;;WE 8;;WE 8;;WE 8;;WE 8;;;;;;;
;;Zimmer 1;;Bad;;WC;;Küche;;;;;;;
;;;;;;;;;;;;;;;
4 HK;;HK;;HK;;HK;;HK;Σ;;;;;;
;;1413 W;;1304 W;;0420 W;;1386 W;04,52 kW;;;;;;
;;0081 l/h;V̇ ;0075 l/h;V̇ ;0024 l/h;V̇;0079 l/h;0259 l/h;;;;;;
;;;0081 l/h;;0156 l/h;;0180 l/h;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 15;14,10 kW;;DN 12;10,70 m;;
;;42 Pa/m;42 Pa/m;37 Pa/m;132 Pa/m;19 Pa/m;169 Pa/m;41 Pa/m;119 Pa/m;0808 l/h;;DN 15;02,00 m;;
;v;0,17 m/s;0,17 m/s;0,16 m/s;0,33 m/s;0,11 m/s;0,38 m/s;0,17 m/s;0,37 m/s;DN 25;;DN 20;00,00 m;;
;l / m;00,80 m;02,00 m;00,80 m;01,00 m;00,80 m;04,50 m;00,80 m;02,00 m;93 Pa/m;;DN 25;04,00 m;;
;;;;;;;;;;0,44 m/s;;;;;
;;;;;;;;;;04,00 m;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1. OG;;WE 5;;WE 5;;WE 5;;WE 5;;;;;;;
;;Zimmer 1;;Bad;;WC;;Küche;;;;;;;
;;;;;;;;;;;;;;;
4 HK;;HK;;HK;;HK;;HK;Σ;;;;;;
;;1413 W;;1304 W;;0420 W;;1473 W;04,61 kW;;;;;;
;;0081 l/h;V̇ ;0075 l/h;V̇ ;0024 l/h;V̇;0084 l/h;0264 l/h;;;;;;
;;;0081 l/h;;0156 l/h;;0180 l/h;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 15;18,71 kW;;DN 12;10,70 m;;
;;42 Pa/m;42 Pa/m;37 Pa/m;132 Pa/m;19 Pa/m;169 Pa/m;41 Pa/m;123 Pa/m;1073 l/h;;DN 15;02,00 m;;
;v;0,17 m/s;0,17 m/s;0,16 m/s;0,33 m/s;0,11 m/s;0,38 m/s;0,17 m/s;0,37 m/s;DN 25;;DN 20;00,00 m;;
;l / m;00,80 m;02,00 m;00,80 m;01,00 m;00,80 m;04,50 m;00,80 m;02,00 m;154 Pa/m;;DN 25;05,00 m;;
;;;;;;;;;;0,59 m/s;;DN 32;00,00 m;;
;;;;;;;;;;05,00 m;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
EG;;;;;;WE 1;;WE 1;;;;;;;
;;;;;;Bad;;Küche;;;;;;;
;;;;;;;;;;;;;;;
2 HK;;;;;;HK;;HK;Σ;;;;;;
;;;;;;2359 W;;1488 W;03,85 kW;;;;;;
;;;;;;0135 l/h;V̇ ;0085 l/h;0221 l/h;;;;;;
;;;;;;;0135 l/h;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;DN 12;DN 12;DN 12;DN 15;;;DN 12;05,60 m;;
;;;;;;102 Pa/m;102 Pa/m;46 Pa/m;90 Pa/m;;;DN 15;02,00 m;;
;;;;;v;0,29 m/s;0,29 m/s;0,18 m/s;0,31 m/s;;;;;;
;;;;;l / m;00,80 m;04,00 m;00,80 m;02,00 m;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
KG;;;;;;;Vorlauftemperatur;;70 °C;;;;;DN 12;43,90 m
;;;;;;;Leistung;;22,56 kW;;;;;DN 15;18,50 m
;18 HK;;;;;;Volumenstrom;;1293 l/h;;;Kellerleitung zu Strang 2;;DN 20;04,00 m
;;;;;;;Nennweite;;DN 32;;;;;DN 25;09,00 m
;;;;;;;Druckverlust;;74 Pa/m;;;;;DN 32;04,00 m
;;;;;;;Fließgeschwindigkeit;;0,45 m/s;;;;;;
;;;;;;;Länge;;4,00 m;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
