;Starngschema Strang 3;;;;;;;;;;;;
;Rohrmaterial ;Viega Temponox;;;;;;;;;;;
;Heizkörperanbindung 0,8 m;;;;;;;;;;;;
;Δp Spreizung;15 K;;;;;;;;;;;
;cp;1,163  WH / (kg*K);;;;;;;;;;;
;;;;;;;;;;;;;
4. OG;;;WE 12;;WE 12;;WE 12;;WE 12;;;;
;;;Küche;;WC;;Bad;;Zimmer 1;;;;
;Strang 3;;;;;;;;;;;;
4 HK;;Σ;HK;;HK;;HK;;HK;;;;
;;05,52 kW;1534 W;;0826 W;;1836 W;;1323 W;;;;
;;0316 l/h;0088 l/h;V̇ ;0047 l/h;V̇ ;0105 l/h;V̇ ;0076 l/h;;;;
;;;;0228 l/h;;0181 l/h;;0076 l/h;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;05,52 kW;DN 15;DN 12;DN 15;DN 12;DN 15;DN 12;DN 12;DN 12;;;DN 12;05,70 m
;0316 l/h;168 Pa/m;49 Pa/m;95 Pa/m;19 Pa/m;137 Pa/m;66 Pa/m;38 Pa/m;38 Pa/m;;;DN 15;08,50 m
;DN 20;0,44 m/s;0,19 m/s;0,32 m/s;0,11 m/s;0,40 m/s;0,22 m/s;0,16 m/s;0,16 m/s;v;;DN 20;04,00 m
;64 Pa/m;02,50 m;00,80 m;02,50 m;00,80 m;03,50 m;00,80 m;02,50 m;00,80 m;l / m;;DN 25;00,00 m
;0,30 m/s;;;;;;;;;;;;
;04,00 m;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
3. OG;;;WE 9;;WE 9;;WE 9;;WE 9;;;;
;;;Küche;;WC;;Bad;;Zimmer 1;;;;
;;;;;;;;;;;;;
4 HK;;Σ;HK;;HK;;HK;;HK;;;;
;;04,32 kW;1212 W;;0652 W;;1574 W;;0878 W;;;;
;;0247 l/h;0069 l/h;V̇ ;0037 l/h;V̇ ;0090 l/h;V̇ ;0050 l/h;;;;
;;;;0178 l/h;;0141 l/h;;0050 l/h;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;09,83 kW;DN 15;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;;;DN 12;11,70 m
;0564 l/h;109 Pa/m;32 Pa/m;165 Pa/m;19 Pa/m;110 Pa/m;51 Pa/m;19 Pa/m;19 Pa/m;;;DN 15;02,50 m
;DN 20;0,35 m/s;0,15 m/s;0,38 m/s;0,11 m/s;0,30 m/s;0,19 m/s;0,11 m/s;0,11 m/s;v;;DN 20;04,00 m
;177 Pa/m;02,50 m;00,80 m;02,50 m;00,80 m;03,50 m;00,80 m;02,50 m;00,80 m;l / m;;DN 25;00,00 m
;0,53 m/s;;;;;;;;;;;;
;04,00 m;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2. OG;;;WE 6;;WE 6;;WE 6;;WE 6;;;;
;;;Küche;;WC;;Bad;;Zimmer 1;;;;
;;;;;;;;;;;;;
4 HK;;Σ;HK;;HK;;HK;;HK;;;;
;;04,70 kW;1337 W;;0670 W;;1684 W;;1013 W;;;;
;;0270 l/h;0077 l/h;V̇ ;0038 l/h;V̇ ;0097 l/h;V̇ ;0058 l/h;;;;
;;;;0193 l/h;;0155 l/h;;0058 l/h;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;14,54 kW;DN 15;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;;;DN 12;11,70 m
;0833 l/h;128 Pa/m;39 Pa/m;190 Pa/m;19 Pa/m;130 Pa/m;58 Pa/m;24 Pa/m;24 Pa/m;;;DN 15;02,50 m
;DN 25;0,38 m/s;0,16 m/s;0,41 m/s;0,11 m/s;0,33 m/s;0,21 m/s;0,12 m/s;0,12 m/s;v;;DN 20;00,00 m
;99 Pa/m;02,50 m;00,80 m;02,50 m;00,80 m;03,50 m;00,80 m;02,50 m;00,80 m;l / m;;DN 25;04,00 m
;0,46 m/s;;;;;;;;;;;DN 32;00,00 m
;04,00 m;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1. OG;;;WE 3;;WE 3;;WE 3;;WE 3;;;;
;;;Küche;;WC;;Bad;;Zimmer 1;;;;
;;;;;;;;;;;;;
4 HK;;Σ;HK;;HK;;HK;;HK;;;;
;;04,70 kW;1337 W;;0646 W;;1708 W;;1013 W;;;;
;;0270 l/h;0077 l/h;V̇ ;0037 l/h;V̇ ;0098 l/h;V̇ ;0058 l/h;;;;
;;;;0193 l/h;;0156 l/h;;0058 l/h;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;19,24 kW;DN 15;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;;;DN 12;11,70 m
;1103 l/h;128 Pa/m;39 Pa/m;190 Pa/m;19 Pa/m;132 Pa/m;59 Pa/m;24 Pa/m;24 Pa/m;;;DN 15;02,50 m
;DN 25;0,38 m/s;0,16 m/s;0,41 m/s;0,11 m/s;0,33 m/s;0,21 m/s;0,12 m/s;0,12 m/s;v;;DN 20;00,00 m
;162 Pa/m;02,50 m;00,80 m;02,50 m;00,80 m;03,50 m;00,80 m;02,50 m;00,80 m;l / m;;DN 25;05,00 m
;0,61 m/s;;;;;;;;;;;DN 32;00,00 m
;05,00 m;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
EG;;;WE 2;;WE 2;;;WE 2;;;;;
;;;Küche;;Bad;;;Zimmer 1;;;;;
;;;;;;;;1794 W;;;;;
;;;;;;;;0103 l/h;;;;;
3 HK;;Σ;HK;;HK;;HK 1;;HK 2;;;;
;;03,86 kW;1283 W;;0788 W;;0897 W;;0897 W;;;;
;;0222 l/h;0074 l/h;;0045 l/h;V̇ ;0051 l/h;V̇ ;0051 l/h;;;;
;;;;0148 l/h;;0103 l/h;;0051 l/h;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;DN 15;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;DN 12;;;DN 12;12,70 m
;;91 Pa/m;36 Pa/m;120 Pa/m;19 Pa/m;64 Pa/m;19 Pa/m;19 Pa/m;19 Pa/m;;;DN 15;02,50 m
;;0,31 m/s;0,16 m/s;0,32 m/s;0,11 m/s;0,22 m/s;0,11 m/s;0,11 m/s;0,11 m/s;v;;;
;;02,50 m;00,80 m;03,00 m;00,80 m;04,00 m;00,80 m;02,50 m;00,80 m;l / m;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
KG;;;;;;;Vorlauftemperatur;;70 °C;;;;
;;;;;Kellerleitung zu Strang 3;;Leistung;;23,10 kW;;;DN 12;53,50 m
;;;;;;;Volumenstrom;;1324 l/h;;;DN 15;18,50 m
;;;;;;;Nennweite;;DN 32;;;DN 20;08,00 m
;;;;;;;Druckverlust;;77 Pa/m;;;DN 25;09,00 m
;;;;;;;Fließgeschwindigkeit;;0,47 m/s;;;DN 32;07,00 m
;19 HK;;;;;;Länge;;7,00 m;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
