;Starngschema Strang 4;;;;;;;;;;;;;;;;;
;Rohrmaterial ;Viega Temponox;;;;;;;;;;;;;;;;
;Heizkörperanbindung 0,8 m;;;;;;;;;;;;;;;;;
;Δp Spreizung;15 K;;;;;;;;;;;;;;;;
;cp;1,163  WH / (kg*K);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
4. OG;;WE 13;;WE 13;;;;WE 13;;WE 13;;WE 12;;;;;;
;;Zimmer 2;;Zimmer 1;;;;Bad;;Küche;;Zimmer 2;;;;;;
;;;;;;Strang 4;;;;;;;;;;;;
5 HK;;HK ;;HK ;Σ;;Σ;HK;;HK;;HK;;;;;;
;;2089 W;;2208 W;04,30 kW;;04,94 kW;1395 W;;1251 W;;2297 W;;;;;;
;;0120 l/h;V̇ ;0127 l/h;0246 l/h;;0283 l/h;0080 l/h;V̇ ;0072 l/h;V̇ ;0132 l/h;;;;;;
;;;0120 l/h;;;;;;0203 l/h;;0132 l/h;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;DN 12;DN 12;DN 12;DN 15;09,24 kW;DN 15;DN 12;DN 15;DN 12;DN 12;DN 12;;DN 12;10,00 m;;;
;;83 Pa/m;83 Pa/m;92 Pa/m;108 Pa/m;0530 l/h;139 Pa/m;42 Pa/m;78 Pa/m;35 Pa/m;98 Pa/m;37 Pa/m;;DN 15;09,50 m;;;
;v;0,26 m/s;0,26 m/s;0,27 m/s;0,35 m/s;DN 20;0,40 m/s;0,17 m/s;0,29 m/s;0,15 m/s;0,28 m/s;0,19 m/s;;DN 20;04,00 m;;;
;l / m;00,80 m;03,00 m;00,80 m;03,00 m;159 Pa/m;03,50 m;00,80 m;03,00 m;00,80 m;03,00 m;00,80 m;;DN 25;00,00 m;;;
;;;;;;0,50 m/s;;;;;;;;;;;;
;;;;;;04,00 m;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
3. OG;;WE 10;;WE 10;;;;WE 10;;WE 10;;WE 9;;;;;;
;;Zimmer 2;;Zimmer 1;;;;Bad;;Küche;;Zimmer 2;;;;;;
;;;;;;;;;;;;;;;;;;
5 HK;;HK ;;HK ;Σ;;Σ;HK;;HK;;HK;;;;;;
;;1509 W;;1757 W;03,27 kW;;03,83 kW;1231 W;;0883 W;;1717 W;;;;;;
;;0087 l/h;V̇ ;0101 l/h;0187 l/h;;0220 l/h;0071 l/h;V̇ ;0051 l/h;V̇ ;0098 l/h;;;;;;
;;;0087 l/h;;;;;;0149 l/h;;0098 l/h;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;DN 12;DN 12;DN 12;DN 12;16,34 kW;DN 15;DN 12;DN 12;DN 12;DN 12;DN 12;;DN 12;13,00 m;;;
;;48 Pa/m;48 Pa/m;62 Pa/m;180 Pa/m;0937 l/h;89 Pa/m;34 Pa/m;121 Pa/m;19 Pa/m;59 Pa/m;59 Pa/m;;DN 15;03,50 m;;;
;v;0,21 m/s;0,21 m/s;0,22 m/s;0,40 m/s;DN 25;0,31 m/s;0,15 m/s;0,32 m/s;0,11 m/s;0,21 m/s;0,21 m/s;;DN 20;00,00 m;;;
;l / m;00,80 m;03,00 m;00,80 m;03,00 m;121 Pa/m;03,50 m;00,80 m;03,00 m;00,80 m;03,00 m;00,80 m;;DN 25;04,00 m;;;
;;;;;;0,51 m/s;;;;;;;;DN 32;00,00 m;;;
;;;;;;04,00 m;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
2. OG;;WE 7;0000 W;WE 7;;;;WE 7;;WE 7;;WE 6;;;;;;
;;Zimmer 2;;Zimmer 1;;;;Bad;;Küche;;Zimmer 2;;;;;;
