;;;;;; ;;;;;;;;;;;;;;;;;;;;;
;;;;U;Z;;;A;;;;;Watt;;;;;;;;;;;;;;
;;Bauteil;Typ;"U-Wert
W/m²*K";"Wärme
brücken
Zuschlag
W/m²*K";"Länge 
m";"Höhe / Breite
m
";"Fläche
 m²";"Temp.
Raum
°C
";"Temp.
angr.
°C
";"fx
";"ΔT
K";"Heizlast
((U + Z) * A * fx *  ΔT)";;;;;;;;;;;;;;
Wohnung 9;6024 W;67,14 m²;;;;;;;;;;;;;;;;;;;;;;;;;
Zimmer 1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;15,46 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;2,85;3,75;8,39;20;-12;1;32;0429 W;;;;;;;;;;;;;;
Raumhöhe;3,40 m;Fenster 1;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;1,15;2,00;2,30;20;-12;1;32;0096 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Nebengebäude;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;5,95;3,75;22,31;20;15;0,16;32;0179 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Zimmer 2;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;2,80;3,75;8,46;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Tür Zimmer 2;Türen Holzwerkstoff;2,9;0;0,95;2,15;2,04;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Bad;Rapitzwand;2,5;0;4,70;3,75;17,63;20;24;-0,13;32;-0176 W;;;;;;;;;;;;;;
;;Wand Flur;Rapitzwand;2,5;0;1,30;3,75;2,94;20;15;0,16;32;0037 W;;;;;;;;;;;;;;
;;Tür Zimmer 1;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;15,46;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;15,46;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0592 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,40;15,46; 52,56   ;0,34;;;0286 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 1;;;;;;;;;;;;;0878 W;;;;;;;;;;;;;;
